Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument
542018,,IPRU9397,ICICI Prudential Fixed Maturity Plan Series 84 - 1288 Days Plan E - Direct Plan Cumulative Option,Active,F ,10.00,INF109KC1LD1, ,MF
542019,,SHUBHAM,Shubham Polyspin Ltd,Active,M ,10.00,INE01J501010,Textiles,Equity
542020,,AKI,AKI India Ltd,Active,M ,10.00,INE642Z01018,Other Apparels & Accessories,Equity
542021,,NXXXIX08X,NIPPON INDIA MUTUAL FUND  FIXED HORI FD  XXXIX SR 8DR DVP05MY22,Active,F ,10.00,INF204KB1K53, ,MF
542022,,NXXXIX08Z,NIPPON INDIA MUTUAL FUND  FIXED HORI FD  XXXIX SR 8DR GWTH05MY22,Active,F ,10.00,INF204KB1K46, ,MF
542023,,NXXXIX08D,NIPPON INDIA MUTUAL FUND  FIXED HORI FD  XXXIX SR 8RG DVP005MY22,Active,F ,10.00,INF204KB1K38, ,MF
542024,,NXXXIX08G,NIPPON INDIA MUTUAL FUND  FIXED HORI FD  XXXIX SR 8RG GWTH05Y22,Active,F ,10.00,INF204KB1K20, ,MF
542025,,SUNRETAIL,Sun Retail Ltd,Active,M ,10.00,INE206Z01012,Comm.Trading  & Distribution,Equity
542026,,IPRU3198,ICICI Prudential Fixed Maturity Plan - Series 84 - 1286 days - Plan F - Cumulative Option,Active,F ,10.00,INF109KC1LM2, ,MF
542027,,IPRU3199,ICICI Prudential Fixed Maturity Plan - Series 84 - 1286 days - Plan F - Quarterly Dividend Option,Active,F ,10.00,INF109KC1LN0, ,MF
542028,,IPRU9400,ICICI Prudential Fixed Maturity Plan - Series 84 - 1286 days - Plan F - Direct Plan Cumulative Opti,Active,F ,10.00,INF109KC1LP5, ,MF
542029,,IPRU9401,ICICI Prudential Fixed Maturity Plan - Series 84 - 1286 days -,Active,F ,10.00,INF109KC1LQ3, ,MF
542030,,T56CA,TATA Fixed Maturity Plan  - Series 56 Scheme C - Regular Plan - Dividend,Active,F ,10.00,INF277K010P0, ,MF
542031,,T56CC,TATA Fixed Maturity Plan  - Series 56 Scheme C - Direct Plan - Dividend,Active,F ,10.00,INF277K012P6, ,MF
542032,,T56CB,TATA Fixed Maturity Plan  - Series 56 Scheme C - Regular Plan - Growth,Active,F ,10.00,INF277K019O4, ,MF
542033,,T56CD,TATA Fixed Maturity Plan  - Series 56 Scheme C - Direct Plan  - Growth,Active,F ,10.00,INF277K011P8, ,MF
542034,,SMGOLD,S. M. Gold Ltd,Active,M ,10.00,INE00Q901014,Other Apparels & Accessories,Equity
542043,,H1280D43DG,HDFC FMP 1280D October 2018 (1) - Series 43 - Direct Option - Growth Option,Active,F ,10.00,INF179KB13S7, ,MF
542044,,H1280D43RG,HDFC FMP 1280D October 2018 (1) - Series 43 - Regular Option - Growth Option,Active,F ,10.00,INF179KB16S0, ,MF
542045,,H1280D43RQ,HDFC FMP 1280D October 2018 (1) - Series 43 - Regular Option - Quarterly Dividend Payout Option,Active,F ,10.00,INF179KB18S6, ,MF
542046,,VIVIDM,Vivid Mercantile Ltd,Active,M ,10.00,INE647Z01017,Realty,Equity
542047,,KTKFMP248RG,Kotak FMP Series 248 - 1300 days - Regular Plan - Growth Option,Active,F ,10.00,INF174KA1749, ,MF
542048,,KTKFMP248RD,Kotak FMP Series 248 - 1300 days - Regular Plan - Dividend Payout Option,Active,F ,10.00,INF174KA1756, ,MF
542049,,KTKFMP248DG,Kotak FMP Series 248 - 1300 days - Direct Plan - Growth Option,Active,F ,10.00,INF174KA1764, ,MF
542050,,KTKFMP248DD,Kotak FMP Series 248 - 1300 days - Direct Plan - Dividend Payout Option,Active,F ,10.00,INF174KA1772, ,MF
542051,,H1274D43DG,HDFC FMP 1274D October 2018(1) - Series 43 - Direct Plan - Growth Option,Active,F ,10.00,INF179KB15T0, ,MF
542052,,H1274D43DD,HDFC FMP 1274D October 2018(1) - Series 43 - Direct Plan - Normal Dividend Option,Active,F ,10.00,INF179KB16T8, ,MF
542053,,H1274D43DQ,Units of HDFC FMP 1274D October 2018(1) - Series 43 - Direct Plan - Quarterly Dividend Option,Active,F ,10.00,INF179KB17T6, ,MF
542054,,H1274D43RG,HDFC FMP 1274D October 2018(1) - Series 43 - Regular Plan - Growth Option,Active,F ,10.00,INF179KB18T4, ,MF
542055,,H1274D43RD,HDFC FMP 1274D October 2018(1) - Series 43 - Regular Plan - Normal Dividend Option,Active,F ,10.00,INF179KB19T2, ,MF
542056,,H1274D43RQ,HDFC FMP 1274D October 2018(1) - Series 43 - Regular Plan - Quarterly Dividend Option,Active,F ,10.00,INF179KB10U9, ,MF
542057,,BCPL,BCPL Railway Infrastructure Ltd,Active,M ,10.00,INE00SW01015,Construction & Engineering,Equity
